track_name,track_artist,decade,track_id,year,track_album_release_date,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness
Passenger,Damn Homies,20s,5SH0eiiSCxHr1FZijS7aSP,2023,2023-11-10,jazz,0.3235103698343753,0.5109227257906749,0.1132233131397535,0.7670674335061107,0.8990918264379415
Cream,Hans Hu$tle,20s,7gKStrOOATphBtfbQnfah4,2023,2023-11-20,jazz,0.2834220954541901,0.6043908270840126,0.40672655107583033,0.5742956543387541,0.9323915237134208
Fishizens,Josa,20s,56YpXPDyWRzgElEKvTGTif,2024,2024-05-23,jazz,0.38163836768564385,0.752200847733942,0.7336536452893253,0.30019828083516886,0.7467204843592331
Spring Melody,"Midan, Beats for Trees",20s,75COvmWgSL1DfGkQburzDa,2024,2024-06-07,jazz,0.32451257669387995,0.5924356048255625,0.23438479214539376,0.9307226418617313,0.9364278506559032
Midnight Cruisin,"Lamar Azul, Mindscape",20s,2ZKgeVCWa1RfOq2FMcokGy,2023,2023-11-10,jazz,0.45079064099146327,0.7119878274100642,0.5038646333820764,0.07459505802837182,0.8789101917255298
Sunday Galaxy Ride,Guzimi,20s,2NogZP4VnAqH6O8dVbcc7j,2024,2024-02-02,jazz,0.3285214041318985,0.7489403325725464,0.3680802172550658,0.7821277287535605,0.9313824419778003
Pirogue,"Odd Panda, Hikari",20s,4uFRKqRtCFSsO0oDITKwGT,2024,2024-07-23,jazz,0.5329716034708428,0.6532985545049452,0.649049509087111,0.23192494238006342,0.8062563067608477
deliberation,"flamingo zamperoni, Chirofafa",20s,6W0gVa2dyLYCl2U19VJo4x,2023,2023-06-29,jazz,0.3796339539666346,0.6293881099880448,0.34510131606434086,0.828312634179073,0.5731584258324924
Floatin',"SamuW, Mendeville, Lazlow",20s,0SwMW7AfosFNOwCIkzi4Rn,2024,2024-04-26,jazz,0.47484360561957434,0.5913487664384306,0.5801128055149363,0.7008021344173319,0.47124117053481335
Move Around,"Zmeyev, flowless",20s,4heW9iwtsMVkUXkX0sxGac,2024,2024-08-23,jazz,0.36860967851208365,0.6141723725681991,0.24065176519740963,0.07399264621847383,0.922300706357215
Lightness,"Screen Jazzmaster, Zmeyev",20s,11elPe2vSn3tlU1LDBq3GS,2024,2024-03-22,jazz,0.43475533123938914,0.823932181284643,0.46730729057865045,0.06987616551750422,0.8829465186680121
Mood Swings,"Mr. Käfer, Niklas Nadidai",20s,0hcX7etCRdZALhZEV33Vip,2024,2024-08-16,jazz,0.3475633344624864,0.6869905445060319,0.44537288489659493,0.6074283038831435,0.922300706357215
The Backyard,"Noflik, Pleij",20s,6cyX6lruOniejnJWvnBmRm,2023,2023-01-17,jazz,0.313488301239329,0.7282904032170416,0.2030499268853144,0.8112442995652966,0.8879919273461151
Chichihua,Peter Kind,20s,2r20uyktL1iCiwXIBN19ok,2024,2024-02-29,jazz,0.4357575380988938,0.7804586457993696,0.6876958429078754,0.4718856466560959,0.06528758829465187
Golden Leaves,Kasimir,20s,1Evo7pko1p8MazcfRkfQeJ,2023,2023-10-27,jazz,0.16616389289214853,0.7348114335398327,0.5362439941508252,0.6636534061402892,0.9646821392532795
Jazzy Mondays,"Zmeyev, Screen Jazzmaster",20s,3AAahZu2L1Lbujjl2lnBJo,2024,2024-07-26,jazz,0.4718369850410604,0.7511140093468102,0.7681219970754126,0.06535807694326931,0.8335015136226034
The Other Day,halfpastseven,20s,6BjAIEdSSVo88S6kXOl2qn,2023,2023-12-01,jazz,0.3445567138839725,0.6554722312792088,0.6500940045957803,0.3524073043596613,0.8859737638748739
New Chapter,"Jikuru, Lola",20s,4WN8mNRvUmaFl3nPDj5U5V,2024,2024-04-26,jazz,0.43475533123938914,0.732637756765569,0.7117192396072697,0.7791156697040705,0.9132189707366297
